Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,220uF,
C2,CP_Radial_D10.0mm_P5.00mm,1,1000uF,
D1,D_SMA,1,SS34,
"D2, D3",D_DO-41_SOD81_P7.62mm_Horizontal,2,1N4007,
D4,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
J1,TerminalBlock_MaiXu_MX126-5.0-09P_1x09_P5.00mm,1,Screw_Terminal_01x09,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J3,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Screw_Terminal_01x02,
"K1, K2",Relay_SPST_Omron_G5NB,2,G5NB,
L1,L_Radial_D12.0mm_P5.00mm_Fastron_11P,1,470uH,
MECH1,,1,LK-PLC02_92x87,
"Q1, Q2",TO-92_Inline_Wide,2,2SA1015,
"R1, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,220R,
"R2, R4, R5, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,10k,
U1,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,1,LM2596T-5,
"U2, U4",DIP-4_W7.62mm,2,PC817,
U3,MODULE_ESP32-C3_SUPERMINI_TH,1,ESP32-C3_SUPERMINI_TH,
