Designator,Mid X,Mid Y,Rotation,Layer
C1,57.0,-108.25,180.0,top
C2,68.5,-74.98,0.0,top
D1,62.64,-102.13,270.0,bottom
D2,104.25,-86.84,90.0,top
D3,120.0,-86.84,90.0,top
D4,90.75,-112.5,180.0,top
J1,82.25,-130.9,0.0,top
J2,71.0,-64.0,270.0,top
J3,119.0,-131.0,0.0,top
K1,106.6,-103.09,270.0,top
K2,122.35,-103.09,270.0,top
L1,64.75,-86.23,0.0,top
MECH1,91.6,-93.35,0.0,top
Q1,113.75,-105.86,90.0,top
Q2,129.5,-105.9,90.0,top
R1,113.75,-77.82,270.0,top
R2,113.75,-95.73,270.0,top
R3,129.75,-75.58,270.0,top
R4,129.5,-95.73,270.0,top
R5,84.63,-68.0,0.0,top
R6,89.75,-91.5,90.0,top
R7,84.63,-72.0,0.0,top
U1,69.1,-98.28,90.0,top
U2,108.9375,-86.84,270.0,top
U3,84.63,-71.65,0.0,top
U4,124.77,-86.84,270.0,top
